# Total_Iterations; SpaceFilter; TimeFilter; POOL_SIZE; DIM_MULTI_LEVEL
#4.39003e+10;3;3;10;10;
Pattern;Sum_level;Count_level
134106315;37337;10
66977790;1104219;100
133511;33898;10
84903875;34965;10
126871523;197362;50
133919615;37895;10
29122095;210284;50
133689792;472994;90
75497503;128825;30
1062427;234401;50
129231348;77684;20
110116940;33823;10
58589176;43652;10
67240208;712614;100
124236287;259681;60
8405001;35140;10
14970407;253402;60
134021040;36063;10
133161969;47649;10
58719734;79288;20
101171680;52756;10
100400510;112365;30
51480704;34308;10
132379615;286794;70
134168960;393265;90
65860219;80710;20
67110918;568702;90
120822215;112532;30
131392;1077849;100
16797223;72565;20
8393727;42808;10
68160566;206316;50
132075071;33991;10
12369631;71922;20
125025006;74723;20
100124789;35180;10
114294787;178341;40
134156287;1083221;100
131614720;358814;80
1573339;88296;20
33723099;42095;10
8180;113391;30
27848;48286;10
133693310;37244;10
119540223;479395;100
8094328;171663;40
95869915;272823;60
1055391;34166;10
130270083;83992;20
83722047;40541;10
76660480;46687;10
115306457;74030;20
133963271;1138105;100
124551385;75138;20
67108799;1214243;100
134217615;1076944;100
33529855;649036;100
133166886;315345;70
33554112;108623;30
110314914;35336;10
818719;206905;50
14694686;84882;20
115324726;36362;10
133959753;81097;20
237055;198838;50
16974276;34473;10
4662;670375;100
134066815;35105;10
8683520;96193;20
96460775;39957;10
124255235;34716;10
134086647;1098955;100
77070646;175965;40
117440484;470699;100
134105636;40543;10
83886076;867876;100
134216813;36119;10
50692672;251739;50
98249;36861;10
134197824;1149497;100
19022080;34958;10
4491332;39158;10
16576063;34869;10
41889687;36844;10
134201342;1127525;100
127650277;38764;10
4062815;97117;20
127126095;34156;10
23546367;33810;10
66994063;43552;10
21866195;38186;10
19440722;178889;40
3263;95568;20
133018328;145154;40
133955597;306526;70
114425345;39646;10
127138048;40795;10
66942651;35243;10
23892489;1005047;100
119304640;824352;100
133691911;35184;10
134171840;39482;10
127696895;959415;100
14709560;82935;20
134185151;48821;10
83754511;37324;10
32752000;122083;30
134199223;668636;100
25017857;47321;10
100659648;141329;30
307456;35437;10
67105240;34530;10
114189926;78589;20
117641215;78946;20
33415119;36177;10
67152896;51946;10
24908799;33882;10
18874880;1128904;100
11685266;35266;10
110248628;74204;20
84115712;33876;10
2044031;33760;10
3414537;527544;90
107164569;145906;30
109052672;104478;30
134217533;726015;100
3868400;122661;30
104495160;77993;20
62582711;45405;10
4983811;34136;10
132378936;775644;100
64955660;34235;10
117936007;35480;10
16518663;1383020;100
109298048;299454;70
65134832;481308;90
125632508;38240;10
14417958;46371;10
115569113;34613;10
20971019;36645;10
16515145;704250;100
70124289;134303;30
118288412;459797;90
223744;162025;40
119912411;173158;40
10112000;399723;90
134214015;288587;60
19495;700599;100
66584576;1210657;100
789504;1138034;100
134190068;117337;30
58719816;76955;20
132611639;38733;10
17036283;357952;70
50955410;40995;10
9437656;162271;40
58459648;774726;100
125302495;36963;10
119337022;202318;50
132641223;591015;100
16748527;34284;10
134142976;158240;40
132346431;596982;100
52690937;80869;20
52429247;536787;100
133987897;110150;20
278592;89177;20
47860077;34574;10
134184431;77749;20
81395455;34698;10
465;211065;50
130007035;644419;90
117404543;36731;10
16789508;77118;20
35652608;80855;20
124780342;456954;90
134020999;368935;70
125800447;542254;90
4069131;80778;20
124764151;71997;20
133429501;38845;10
523968;217311;50
14940103;40092;10
2364169;594517;100
134212616;36520;10
134216134;165460;40
130277880;1227375;100
33357391;1038932;100
67118592;135004;30
16656;692926;100
47839648;33694;10
115569072;533824;90
94847412;40572;10
131988479;39837;10
75501062;33702;10
129998559;162257;40
29590030;41219;10
10244039;264386;60
75497544;669426;100
14446143;1219325;100
25165367;83331;20
67107318;38018;10
67376895;93136;20
58719775;124406;30
48000551;41754;10
131919992;34424;10
133807326;110329;20
114524095;221085;50
117448199;78269;20
282151;281715;60
134047744;278826;70
16515104;539130;100
9437697;817811;100
133693351;44334;10
3463789;75583;20
62422528;34196;10
132626431;1044743;100
23969206;33921;10
11951030;116640;30
12796160;37891;10
119246274;112265;30
19707296;77066;20
14819297;513242;100
19304960;81586;20
14738383;34700;10
107426505;89062;20
10382886;44787;10
114933467;140723;30
17010937;36746;10
14287359;40480;10
4703;1045841;100
24907359;45848;10
119537343;36604;10
56143028;34609;10
229381;35569;10
133935168;37222;10
117653888;43691;10
9963524;1201789;100
133938686;204271;50
32847;337480;80
118690184;43295;10
100859928;200434;50
119523271;563377;100
16748486;112133;30
126291568;37836;10
81424319;814332;90
26315164;37233;10
83099648;346730;70
120029184;550786;100
105062801;76802;20
64880383;848461;100
20560092;35775;10
15936;453106;90
14911239;378246;90
119435321;74781;20
1273343;1115542;100
117440443;373624;90
33551355;233066;60
66189799;33940;10
33800700;33646;10
71048975;42587;10
76807680;1321194;100
114819492;434099;80
4726792;74388;20
76679428;976935;100
19350015;40718;10
133951359;622216;100
57147393;33789;10
117698943;103388;20
81686524;237295;60
3940159;162043;40
101126143;34896;10
120558529;217785;50
129499003;34284;10
132947535;138710;30
83084856;41509;10
6305311;37190;10
117327908;74267;20
131069945;60839;10
1863688;83016;20
67256358;77679;20
62580633;142570;40
17011657;264154;60
100406785;34594;10
14653951;38883;10
58918428;78052;20
124526080;34266;10
917984;91964;20
1848896;34084;10
8191515;34249;10
68714496;37926;10
124046438;110216;30
33623155;34395;10
117686270;33716;10
81817656;950831;100
117682752;36791;10
2405665;37187;10
70129247;618397;100
8612276;35543;10
52850687;126922;30
126063103;142164;30
133141499;114578;30
81751967;40480;10
100876798;143755;30
24117208;36096;10
23966408;38715;10
132495071;114316;30
1883871;33624;10
131072064;223271;50
57447945;942590;100
108855295;85554;20
134169083;228248;60
57559040;1171644;100
29651399;389777;90
98890363;68433;20
116293183;563780;100
266311;34607;10
77070336;1395320;100
104800227;117662;30
33554440;1034200;100
120828408;288911;70
31956540;37293;10
24904192;1172187;100
1048665;36291;10
33353463;82387;20
19198144;35829;10
134109915;332911;80
117210743;51647;10
19137536;710510;100
31519096;77449;20
38347960;148660;40
119603196;34913;10
264192;1259204;100
16974153;37270;10
124098798;486596;100
10252351;34559;10
14912966;171225;40
117688822;761226;100
99023737;117484;30
119838287;35103;10
77332262;129822;30
41762711;35043;10
100662879;231944;50
2888195;46651;10
43798055;42612;10
46076;35237;10
119638212;79604;20
83882968;160950;40
132118399;87273;20
119508807;650946;100
75515936;190937;40
41778943;40514;10
14450176;1059960;100
133974235;490385;100
38420480;651341;100
13738984;35362;10
14679607;448770;90
1861528;35089;10
1584695;96121;20
3099;687697;100
66043647;85222;20
128512;1134915;100
4193865;119962;30
57442308;46197;10
132616392;415047;90
83652407;272479;60
111001088;33773;10
131726863;38809;10
8158782;104919;20
868609;34107;10
26777708;36375;10
117515556;82270;20
301;839519;100
791067;118050;30
133962241;35793;10
120323584;33639;10
117172724;112889;30
133150303;92583;20
133956604;556522;90
