Pattern;p
78980242;7.52795e-08
67567808;2.57468e-07
134059739;5.9117e-07
134189823;1.36887e-06
100664320;2.41478e-06
193023;8.8554e-07
47787099;4.56494e-08
127744;1.30132e-07
257828;3.4445e-07
9521156;6.63723e-08
115062783;3.33464e-06
133166715;5.51247e-07
253;2.9426e-06
25599;7.22643e-07
52429248;2.0435e-06
134215169;5.78298e-06
88080384;1.0822e-06
99087323;4.0446e-08
134087678;5.62745e-07
125164835;2.86303e-09
50589759;1.17977e-06
59182712;1.15657e-08
81299455;2.73124e-08
83886077;2.85651e-06
83641895;1.36108e-08
125819903;6.91013e-07
158727;1.16409e-06
19136448;1.0483e-06
132382716;9.06706e-06
83882559;2.0048e-07
133707775;4.96804e-07
134084160;7.22074e-07
131075583;3.23386e-07
205696;2.55855e-08
128174337;9.08899e-10
81684275;8.63749e-07
54787584;1.30666e-06
71180287;5.21844e-07
16584327;1.6976e-07
295168;8.75156e-07
102637116;2.89939e-08
113511942;1.3179e-08
37593;1.0428e-05
129756161;1.86324e-09
119533695;3.98029e-07
29212639;1.83302e-07
1863484;5.00349e-08
50335743;3.94142e-06
76808155;2.57918e-06
124761664;1.00117e-06
16444;6.63428e-07
9981376;2.56741e-07
14694400;1.12408e-07
128182772;2.83349e-07
113500668;5.20708e-07
85198888;3.77193e-09
5844118;4.57471e-07
114818560;6.45454e-07
134156680;1.76735e-07
117434807;5.16027e-08
7115556;9.87973e-08
19240671;3.87282e-07
20972288;5.07847e-08
118342369;2.54719e-08
25165327;5.17595e-07
100876799;1.44324e-06
8420865;1.17975e-07
134077165;2.41631e-07
25116672;9.24918e-07
68290561;2.16227e-07
1850975;7.0167e-07
67371520;2.69566e-06
9052706;1.39061e-08
1050147;7.95059e-08
16809479;7.07282e-07
133132214;6.77198e-07
65099;3.82601e-07
133013199;1.34949e-07
118718918;1.38334e-07
117440444;3.10798e-07
66061384;1.93141e-09
118743544;3.71626e-07
121628476;7.83925e-09
4980768;2.4254e-07
262704;4.33658e-07
125980455;5.50338e-08
132107756;1.3329e-07
125927685;9.08899e-10
119475206;2.24271e-08
88318929;4.88533e-09
133395385;1.37425e-07
132907062;5.85308e-07
164200;2.44426e-07
133692983;6.78266e-07
1835504;3.43609e-06
120688327;4.4536e-08
149531;9.5398e-07
77105663;1.14635e-07
33620104;1.31175e-06
6041126;1.78371e-07
133954035;1.76326e-07
117436926;4.94395e-07
50360369;1.86551e-08
2372;1.69078e-07
134201817;5.34364e-07
116162559;5.18208e-07
133830308;7.49841e-10
83656646;8.76405e-08
117139892;5.76514e-07
65401432;8.24371e-08
117179392;1.80346e-06
95940022;2.69148e-07
125695497;1.18157e-08
132116191;4.65742e-07
109306312;1.04569e-07
126881791;7.15371e-07
262025;4.72991e-07
123992024;5.04916e-07
2064894;1.10231e-06
132972505;7.51205e-08
123928577;1.17293e-07
133908980;2.35177e-07
223286;3.28908e-07
133957635;1.92661e-06
8425782;1.57012e-08
18911296;3.39326e-05
133918135;9.7109e-07
52854206;6.58951e-10
133963272;4.47155e-07
125826939;1.81575e-07
25313680;1.72464e-08
19390464;9.82906e-07
24904193;2.40794e-06
8688;2.96278e-07
20714075;3.15615e-08
38272512;1.87142e-07
17900100;3.40837e-09
33775616;5.42022e-07
20224950;6.25549e-08
67634691;1.79576e-07
57652169;1.91323e-07
115077616;1.40175e-07
71565312;2.72304e-06
1575172;5.11142e-07
80887808;1.51377e-06
2889505;1.07727e-07
105484872;8.70725e-08
1837623;1.37403e-07
67765536;3.24204e-07
263424;6.04645e-07
124757467;3.17887e-08
110849446;4.9644e-07
3153952;1.5549e-07
57343;3.78245e-06
100401149;2.40563e-07
117407383;1.01842e-07
119771520;7.944e-07
113357232;3.41746e-08
94109696;1.47098e-06
126908495;3.97643e-09
67104831;7.53431e-07
117174270;3.11457e-07
117718407;1.88596e-09
11801115;5.4034e-08
78691643;9.08899e-11
132358336;6.24095e-07
68028192;1.25314e-07
17019839;5.85785e-07
67334139;1.07954e-07
23323040;3.22205e-08
133166077;5.72168e-06
2551818;6.81674e-11
302719;3.72558e-07
119779832;1.0823e-05
67108349;1.1571e-06
524599;3.38519e-07
117440526;2.07093e-07
116149248;8.30688e-07
67634176;7.45819e-07
134086238;3.28021e-07
117669670;7.72791e-08
71302656;8.6484e-07
19706569;5.73061e-08
24904152;2.68466e-07
1273344;1.8539e-06
261984;9.14647e-07
23167487;9.14579e-08
3145435;7.22052e-07
128447465;4.51314e-07
3940111;1.05644e-06
58834945;4.30363e-08
51147207;2.16091e-08
16551389;1.99958e-09
134179105;2.31247e-07
69174904;1.3179e-08
16775616;1.14773e-06
130624;2.82756e-06
134054143;1.26941e-06
126353404;1.29223e-07
134189659;2.998e-07
79059757;1.46584e-05
117179907;4.68833e-07
123715583;7.74836e-07
115100679;1.02024e-07
133062656;3.54584e-07
124776415;1.13158e-07
14717586;7.04396e-09
67152128;2.73124e-08
56733848;7.8113e-07
